asin,title,price,rating,number_of_reviews,bullet_points,seller_rank
B00B4D3Z86,        SPEED STACKS stem       ,       ,4.7 out of 5 stars,192 ratings, ,"#185,330 in Toys & Games ("
B000UKUHXK,"        Super Lube 51004 Synthetic Oil with PTFE, High Viscosity, 4 oz Bottle,Translucent white       ",       ,4.8 out of 5 stars,"3,103 ratings", ,
B08TTH2PSH,"        Belkin USB C Wall Charger 32W C to Lightning Cable Included PD with 20W USB C & 12W USB A Ports for USB-C Power Delivery Compatible with iPhone 12, 12 Pro, 12 Pro Max, iPad, AirPods and More       ",    Currently unavailable.   ,4.7 out of 5 stars,128 ratings," 20W USB-PD technology charges iPhone 8 or later from 0-50% in 30 minutes, and other smartphones/tablets at optimal speeds*   ","
        "
B092PRSQMX,"        Belkin 25W Power Delivery USB C PPS Wall Charger, USB Type C PD Power Adapter PPS enabled fast charger for iPhone 13, 12, 11, Pro, Pro Max, Mini, iPad, Galaxy S20, Ultra, Note 20, Tab, and More       ",    Temporarily out of stock.   ,4.7 out of 5 stars,807 ratings,,"
        "
B0175BSI28,        Super Impulse World's Smallest Rubik Collectable (503)       ,       ,4.5 out of 5 stars,"6,775 ratings", ,"#5,473 in Toys & Games ("
B01JLXTQ1U,"        Nekmit Dual Port Ultra Thin Flat USB Wall Charger with Smart IC, White       ",       ,4.7 out of 5 stars,"11,543 ratings",,"
        "
B0006Q01PC,"        Intrinsics 407300 Petite Silken Wipes - 2""x2"", 4-ply Blend of Soft Fibers, 200 Count       ",5,4.8 out of 5 stars,"3,374 ratings"," APPLY: Low absorbent blend of fibers, makes this wipe ideal for applying product to the skin without wasting expensive beauty creams and liquids. Leaves more of the product on the skin and less on the wipe. Save time and money  ",
B07G5F8Q1J,"        ECR4Kids SoftZone Mirror Cube - Foam Sensory Toy for Baby / Toddler Play & Self-Discovery, Assorted Colors       ",    Temporarily out of stock.   ,4.7 out of 5 stars,208 ratings, ,"
        "
B088JZPKR3,        Red Book Backpack Hat Study China Red Magic Cube Puzzle 3x3 Toy Game Play       ,25,,, ,
B07DJJV7GM,        The Sherlock – Wooden Puzzle Game       ,7,4.6 out of 5 stars,670 ratings, ,"#96,504 in Toys & Games ("
B0773JCTR5,"        Amazon Basics One-Port 12W USB Wall Charger for Phone, iPad, and Tablet, 2.4 Amp, White, 2 Pack       ",    Currently unavailable.   ,4.7 out of 5 stars,"29,334 ratings",,"
        "
B08P41TMX8,"        Belkin Wall Mount - 2 AC Multiple Outlets & 2 USB C Fast Charger, Wall Charger for MacBook Pro, iPhone 11/12 Pro Max, Galaxy S20+/Note 20 Ultra, Home, Office, Travel & Desktop - White       ",59,4.7 out of 5 stars,29 ratings," Power Strip with USB-C Ports: Developed for professional settings, this mini wall charger turns 1 standard outlet into 2 AC outlets with 2 high-speed USB-C charging ports to power up your MacBook Pro, iPhone, and smartphones. One charging station for a clutter-free desk.  ","
        "
B08FCQM2SS,"        Bakugan Geogan Brawler 5-Pack, Exclusive Mutasect and Viperagon Geogan and 3 Collectible Action Figures, Kids Toys for Boys       ",7,4.8 out of 5 stars,"1,684 ratings", ,#918 in Toys & Games (
B076SVDR3X,        Dragon NFX2 Snow Goggle Lense       ,       ,4.8 out of 5 stars,13 ratings, ,"
        "
B09G15SX3H,"        Anker New Nylon USB C to USB C Cable 100W 10ft + USB C Charger Nano II 65W GaN II PPS Fast Charger Adapter,       ",    Currently unavailable.   ,4.8 out of 5 stars,193 ratings,,"
        "
B0836SFMW6,        ガンクラフト ジョインテッドクロー 70用スペアテール GANCRAFT Jointed Claw Spare Tail       ,,,, Quantity: 2 pieces  ,
B087MFL8DM,        Amazon Basics 30W One-Port GaN USB-C Wall Charger for Tablets and Phones with Power Delivery - Black (non-PPS)       ,    Currently unavailable.   ,4.7 out of 5 stars,384 ratings,,"
        "
B00UFX7CJY,        Speed Stacks Tournament Display Pro       ,       ,4.4 out of 5 stars,13 ratings, ,"#245,424 in Toys & Games ("
B087MFLLCR,"        Amazon Basics 65W One-Port GaN USB-C Wall Charger for Laptops, Tablets and Phones with Power Delivery - Black (non-PPS)       ",    Currently unavailable.   ,4.4 out of 5 stars,123 ratings,,"
        "
B005DPZ49Y,        ガンクラフト ジョインテッドクロー 178用 スペアテール GANCRAFT Jointed Claw       ,6,,, ,"#1,625,586 in Sports & Outdoors ("
B08PHG9741,"        GaN 66W USB C Charger, HyperJuice 3-Ports USB-C Power Adapter with PD3.0 QC3.0 Foldable Plug 65W Type-C Charger for Laptop, Smartphone, iPhone 11 12 Mini Pro Max XR, iPad Pro, MacBook Pro Air, White       ",       ,4.2 out of 5 stars,69 ratings, ,"
        "
B002LLOM5A,"        GAN Craft Jointed Claw Lure, Sweetfish       ",62,,, ,"#1,547,234 in Sports & Outdoors ("
B0182KR2LO,"        Speed Stacks | G5 Stackmat (Timer and Mat) | Accuracy to 0.001 Seconds, Batteries Included | Endorsed by Sport Stacking and Cubing associations       ",    Currently unavailable.   ,4.8 out of 5 stars,394 ratings, ,"#30,030 in Toys & Games ("
B08F9HGJS6,        Apple 30W USB-C Power Adapter       ,    Currently unavailable.   ,4.8 out of 5 stars,"1,456 ratings",,
B0BBTMZPMC,        D-FantiX Shengshou Mirror Cube 3x3x3 Speed Cube 57mm and 2 Pieces Gan Lube 10ML       ,    Currently unavailable.   ,,, ,
B00DXGDIAW,        Gan Craft/Gun Craft Jointed Claw Magnum/zyointeddokuro-magunamu 230        ,98,,,,"#859,055 in Sports & Outdoors ("
